name,location,bedrooms,bathrooms,property_type,price_range,url,agency,detailed_address,city,state,area,country,number_of_guests,rating,currency,price_value,period,Amazing View,Amazing pool,Beachfront,Golfing,Guest House,Island life,Jungle View,Ocean view,Pool view,Residential,Rice paddy view,Style,Surfing,Tropical,View,property_category,user_id
Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",$258 per 2 nights,https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Bukit Vista,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Uluwatu,Indonesia,4,4.42,USD,258,per 2 nights,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,Villa,7
Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3.0,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",Starting from USD 161 per night,https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Bukit Vista,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Bingin,Indonesia,6,5.0,USD,161,per night,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,Villa,20
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",4,4.0,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",USD 202 / Night,https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Bukit Vista,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Bali,Ubud,Indonesia,8,5.0,USD,202,per night,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Villa,15
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",3,4.0,"Beachfront, Villa",Starting from USD 715 per 2 nights,https://www.bukitvista.com/property/nusa-dua-seafront-villa,Bukit Vista,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",Bali,Bali,Nusa Dua,Indonesia,6,4.84,USD,715,per 2 nights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Villa,11
Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,"Amazing pool, Golfing, Pool view, Villa",Starting from USD 84 per night,https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Bukit Vista,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Balangan,Indonesia,4,4.76,USD,84,per night,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Villa,8
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.5,"Pool view, Villa",Starting from USD 118 per night,https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,4,4.72,USD,118,per night,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Villa,21
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,"Pool view, Villa",Starting from USD 165 per night,https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,4,4.72,USD,165,per night,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Villa,7
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",3,3.5,"Amazing pool, Golfing, Surfing, Tropical, Villa",Starting from USD 167 per night,https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Bukit Vista,"Jl. Pesakapan Indah No.9, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Ungasan,Indonesia,6,4.84,USD,167,per night,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,Villa,19
Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,Villa,Starting from USD 100 per night,https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Bukit Vista,"Tibubeneng, Kuta Utara, Badung, Bali",Bali,Bali,Canggu,Indonesia,4,4.84,USD,100,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,23
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,Jl. Umalas Klecung No.34,2,2.0,"Guest House, Villa",Starting from USD 108 per night,https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Bukit Vista,Jl. Umalas Klecung No.34,Bali,Bali,Umalas,Indonesia,4,4.57,USD,108,per night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,11
